单位ID,实况日期,总云量,中云量,低云量,风向,风速,温度,湿度,能见度,本站气压,天气现象,850hpa温度,500hpa涡度,700hpa涡度,850hpa涡度,700hpa湿度,850hpa湿度,2m温度,850W,700W,实况变化,t850变化,上一时次温度,时次,mon,alt,az,index,last_850hpa温度,last_500hpa涡度,last_700hpa涡度,last_850hpa涡度,last_700hpa湿度,last_850hpa湿度,last_2m温度,last_850W,last_700W,last_alt,last_az
964010001,2017-09-27 11:00:00,10,0,10,190,1,16.799999,94.0,8000,950.70001,1,283.94583418,-4.1015625,-0.0869140625,-1.84375,88.0654702026,94.100840979,284.815451172,-0.0637778167725,0.519903210449,0.699999,-0.250142089844,16.1,11,9,0.943161725998,2.31546616554,0,284.19597627,-7.765625,-0.23828125,-2.2451171875,97.932103125,95.9037255371,284.445977734,-0.0526452453613,-0.0521893920898,0.295818001032,1.74151873589
964010001,2017-09-27 14:00:00,10,7,3,114,1,20.0,77.0,8000,948.5,0,286.491509375,-10.5966796875,0.064453125,-1.4423828125,73.2047032959,75.4937664673,287.844128125,-0.018488835144,0.190250845337,3.200001,2.54567519531,16.799999,14,9,1.00968623161,3.8155837059,1,283.94583418,-4.1015625,-0.0869140625,-1.84375,88.0654702026,94.100840979,284.815451172,-0.0637778167725,0.519903210449,0.943161725998,2.31546616554
964010001,2017-09-27 17:00:00,10,10,0,-1,0,19.700001,80.0,8000,948.0,0,288.801583105,-10.259765625,-4.9130859375,0.75,59.4995647705,62.149189563,289.431463281,0.0419701751709,0.228419017029,-0.299999,2.31007373047,20.0,17,9,0.39094504714,4.48778915405,2,286.491509375,-10.5966796875,0.064453125,-1.4423828125,73.2047032959,75.4937664673,287.844128125,-0.018488835144,0.190250845337,1.00968623161,3.8155837059
964010001,2017-09-27 20:00:00,4,4,0,170,1,16.6,91.0,9000,948.5,0,288.454816113,-4.05078125,-3.9912109375,-0.9677734375,50.9483788513,66.1546790405,285.695778516,0.195425161743,0.378511582947,-3.100001,-0.346766992187,19.700001,20,9,-0.321580290794,4.82663631439,3,288.801583105,-10.259765625,-4.9130859375,0.75,59.4995647705,62.149189563,289.431463281,0.0419701751709,0.228419017029,0.39094504714,4.48778915405
964010001,2017-09-27 23:00:00,0,0,0,160,1,13.7,96.0,9000,948.90002,0,289.117531104,3.8046875,-2.689453125,-4.009765625,41.8133453735,62.4373792114,283.378710547,0.250899099731,0.313861605835,-2.9,0.662714990234,16.6,23,9,-0.988066136837,5.3828701973,4,288.454816113,-4.05078125,-3.9912109375,-0.9677734375,50.9483788513,66.1546790405,285.695778516,0.195425161743,0.378511582947,-0.321580290794,4.82663631439
964010001,2017-09-28 02:00:00,0,0,0,-1,0,12.2,95.0,9000,948.29999,0,289.022160254,3.990234375,-4.455078125,-4.5595703125,38.0541513672,65.1420623291,281.399842578,0.199214544678,0.130533772278,-1.5,-0.0953708496094,13.7,2,9,-1.06010961533,0.74905705452,5,289.117531104,3.8046875,-2.689453125,-4.009765625,41.8133453735,62.4373792114,283.378710547,0.250899099731,0.313861605835,-0.988066136837,5.3828701973
964010001,2017-09-28 05:00:00,0,0,0,-1,0,11.4,94.0,9000,948.0,0,288.187218164,-2.6640625,-7.5126953125,-3.453125,36.6284290649,67.7787795898,280.253337549,0.191692500305,0.111305923462,-0.8,-0.834942089844,12.2,5,9,-0.418833494186,1.40989983082,6,289.022160254,3.990234375,-4.455078125,-4.5595703125,38.0541513672,65.1420623291,281.399842578,0.199214544678,0.130533772278,-1.06010961533,0.74905705452
964010001,2017-09-28 08:00:00,1,0,0,-1,0,11.6,92.0,10000,948.79999,0,285.813300049,-5.58984375,-12.388671875,-1.5458984375,26.0273179474,74.6584581665,281.7965875,0.163572001648,0.0695968185425,0.2,-2.37391811523,11.4,8,9,0.294154554605,1.74856901169,7,288.187218164,-2.6640625,-7.5126953125,-3.453125,36.6284290649,67.7787795898,280.253337549,0.191692500305,0.111305923462,-0.418833494186,1.40989983082
964010001,2017-09-28 11:00:00,0,0,0,331,1,18.799999,68.0,10000,947.70001,0,288.941594922,-9.0078125,-15.0390625,-2.630859375,27.7203586914,50.3697716309,290.838669922,0.0481621276855,0.211562277222,7.199999,3.12829487305,11.6,11,9,0.939086973667,2.32502269745,8,285.813300049,-5.58984375,-12.388671875,-1.5458984375,26.0273179474,74.6584581665,281.7965875,0.163572001648,0.0695968185425,0.294154554605,1.74856901169
964010001,2017-09-28 14:00:00,1,0,0,99,1,23.0,59.0,10000,943.20001,0,292.010371582,-8.080078125,-17.689453125,-3.7158203125,25.9820059036,40.1001726807,293.979645703,0.0471525360107,0.263605331421,4.200001,3.06877666016,18.799999,14,9,1.00326120853,3.81064558029,9,288.941594922,-9.0078125,-15.0390625,-2.630859375,27.7203586914,50.3697716309,290.838669922,0.0481621276855,0.211562277222,0.939086973667,2.32502269745
964010001,2017-09-28 17:00:00,10,10,0,-1,0,22.5,69.0,10000,941.5,0,292.195754687,-7.765625,-15.2255859375,-1.3154296875,26.8951207184,43.3178752014,292.701386328,0.0336861801147,0.206311747742,-0.5,0.185383105469,23.0,17,9,0.386528998613,4.48200178146,10,292.010371582,-8.080078125,-17.689453125,-3.7158203125,25.9820059036,40.1001726807,293.979645703,0.0471525360107,0.263605331421,1.00326120853,3.81064558029
964010001,2017-09-28 20:00:00,10,6,4,-1,0,19.200001,82.0,10000,942.5,0,289.714769092,-8.333984375,-11.5,5.431640625,49.2306857803,63.3473275269,287.412197656,0.127129823303,0.146506576538,-3.299999,-2.4809855957,22.5,20,9,-0.325782209635,4.82080125809,11,292.195754687,-7.765625,-15.2255859375,-1.3154296875,26.8951207184,43.3178752014,292.701386328,0.0336861801147,0.206311747742,0.386528998613,4.48200178146
964010001,2017-09-28 23:00:00,10,0,10,-1,0,18.200001,88.0,10000,943.59998,0,288.859930859,-7.169921875,-10.962890625,5.9462890625,68.9291976593,68.2861729492,286.216405176,0.17959511261,0.214185488892,-1.0,-0.854838232422,19.200001,23,9,-0.993852436543,5.37585783005,12,289.714769092,-8.333984375,-11.5,5.431640625,49.2306857803,63.3473275269,287.412197656,0.127129823303,0.146506576538,-0.325782209635,4.82080125809
964010001,2017-09-29 02:00:00,10,0,10,-1,0,17.700001,86.0,10000,943.40002,0,288.017835059,-2.671875,-6.1787109375,-1.498046875,82.3421929321,74.3941028076,285.985094922,0.190978875732,0.320560850525,-0.5,-0.842095800781,18.200001,2,9,-1.06449854374,0.760111033916,13,288.859930859,-7.169921875,-10.962890625,5.9462890625,68.9291976593,68.2861729492,286.216405176,0.17959511261,0.214185488892,-0.993852436543,5.37585783005
964010001,2017-09-29 05:00:00,10,0,10,-1,0,17.200001,90.0,8000,943.70001,0,287.368406641,-1.947265625,4.1962890625,-1.3583984375,84.6093912598,82.7209254761,285.634112891,0.238629782104,0.284697821045,-0.5,-0.649428417969,17.700001,5,9,-0.420470148325,1.41728889942,14,288.017835059,-2.671875,-6.1787109375,-1.498046875,82.3421929321,74.3941028076,285.985094922,0.190978875732,0.320560850525,-1.06449854374,0.760111033916
964010001,2017-09-29 08:00:00,10,0,10,-1,0,17.1,92.0,5000,944.79999,1,287.124225244,-2.6650390625,-2.630859375,-3.443359375,72.4194787964,89.3428128784,285.825693359,0.13445355835,-0.0663786315918,-0.100001,-0.244181396484,17.200001,8,9,0.292465537786,1.7556000948,15,287.368406641,-1.947265625,4.1962890625,-1.3583984375,84.6093912598,82.7209254761,285.634112891,0.238629782104,0.284697821045,-0.420470148325,1.41728889942
964010001,2017-09-29 11:00:00,10,10,0,-1,0,18.799999,87.0,7000,945.59998,0,289.499922119,-2.33984375,-0.41455078125,-0.93359375,73.732654187,68.1832811768,291.259007031,0.0266788818359,0.0991822509766,1.699999,2.375696875,17.1,11,9,0.934962689877,2.33444643021,16,287.124225244,-2.6650390625,-2.630859375,-3.443359375,72.4194787964,89.3428128784,285.825693359,0.13445355835,-0.0663786315918,0.292465537786,1.7556000948
964010001,2017-09-29 14:00:00,8,8,0,149,2,22.9,78.0,9000,943.09998,0,292.073637305,-5.5908203125,1.8017578125,1.576171875,91.0077297241,55.6239988831,293.857372656,-0.026582093811,0.0531781768799,4.100001,2.57371518555,18.799999,14,9,0.996839106083,3.80578732491,17,289.499922119,-2.33984375,-0.41455078125,-0.93359375,73.732654187,68.1832811768,291.259007031,0.0266788818359,0.0991822509766,0.934962689877,2.33444643021
964010001,2017-09-29 17:00:00,3,3,0,166,2,23.700001,76.0,9000,941.5,0,292.362772266,-4.3349609375,0.408203125,4.5576171875,91.1507438965,58.150569873,293.065323047,-0.0437715759277,0.102426141357,0.800001,0.289134960938,22.9,17,9,0.382118821144,4.47623252869,18,292.073637305,-5.5908203125,1.8017578125,1.576171875,91.0077297241,55.6239988831,293.857372656,-0.026582093811,0.0531781768799,0.996839106083,3.80578732491
964010001,2017-09-29 20:00:00,4,4,0,-1,0,19.6,92.0,8000,942.20001,0,289.958747266,-1.658203125,2.6533203125,7.65234375,81.4228052979,79.269444812,288.378208203,0.120961965942,0.11704772644,-4.100001,-2.404025,23.700001,20,9,-0.329956114292,4.81494808197,19,292.362772266,-4.3349609375,0.408203125,4.5576171875,91.1507438965,58.150569873,293.065323047,-0.0437715759277,0.102426141357,0.382118821144,4.47623252869
964010001,2017-09-29 23:00:00,0,0,0,-1,0,17.299999,94.0,7000,943.29999,0,288.33258125,-4.953125,3.6044921875,7.6103515625,74.5983371216,87.6163720093,286.542532422,0.209381950378,0.172565036011,-2.300001,-1.62616601562,19.6,23,9,-0.999599277973,5.36870670319,20,289.958747266,-1.658203125,2.6533203125,7.65234375,81.4228052979,79.269444812,288.378208203,0.120961965942,0.11704772644,-0.329956114292,4.81494808197
964010001,2017-09-30 02:00:00,8,7,1,-1,0,16.1,96.0,7000,942.59998,0,287.746025,-11.05078125,1.9697265625,3.943359375,76.4477122192,89.9336282349,285.828926074,0.147268052673,0.168764952087,-1.199999,-0.58655625,17.299999,2,9,-1.06884086132,0.771304368973,21,288.33258125,-4.953125,3.6044921875,7.6103515625,74.5983371216,87.6163720093,286.542532422,0.209381950378,0.172565036011,-0.999599277973,5.36870670319
964010001,2017-09-30 05:00:00,9,9,0,-1,0,16.5,94.0,7000,941.5,0,287.426428906,-3.154296875,0.212890625,4.734375,83.0626625,91.0282326172,285.864516992,0.136901875305,0.131906016541,0.4,-0.31959609375,16.1,5,9,-0.422099202871,1.42467391491,22,287.746025,-11.05078125,1.9697265625,3.943359375,76.4477122192,89.9336282349,285.828926074,0.147268052673,0.168764952087,-1.06884086132,0.771304368973
964010001,2017-09-30 08:00:00,10,10,0,168,1,17.4,93.0,6000,941.70001,0,287.101642969,5.482421875,-1.34375,7.076171875,84.2971128174,94.709924292,286.571274414,0.095193208313,0.092833404541,0.9,-0.3247859375,16.5,8,9,0.290750414133,1.76260924339,23,287.426428906,-3.154296875,0.212890625,4.734375,83.0626625,91.0282326172,285.864516992,0.136901875305,0.131906016541,-0.422099202871,1.42467391491
964010001,2017-09-30 11:00:00,10,10,0,164,1,17.1,94.0,5000,942.59998,1,288.580591016,6.5283203125,-1.376953125,3.79443359375,96.5981198242,81.6785703491,290.068575,0.0988184997559,0.0880609939575,-0.3,1.47894804688,17.4,11,9,0.930790245533,2.34373474121,24,287.101642969,5.482421875,-1.34375,7.076171875,84.2971128174,94.709924292,286.571274414,0.095193208313,0.092833404541,0.290750414133,1.76260924339
964010001,2017-09-30 14:00:00,10,10,0,96,1,18.299999,88.0,5000,940.5,0,289.837550781,20.14453125,-1.41015625,0.5126953125,97.794026123,76.775172876,290.991098437,0.0836829406738,0.0839008560181,1.199999,1.25695976563,17.1,14,9,0.990422606468,3.80100488663,25,288.580591016,6.5283203125,-1.376953125,3.79443359375,96.5981198242,81.6785703491,290.068575,0.0988184997559,0.0880609939575,0.930790245533,2.34373474121
964010001,2017-09-30 17:00:00,10,10,0,107,1,19.1,82.0,5000,940.29999,0,290.240214844,1.259765625,-1.171875,1.751953125,92.724130542,78.4636346069,290.713233984,0.0392867385864,0.151451039124,0.800001,0.4026640625,18.299999,17,9,0.377716898918,4.47048139572,26,289.837550781,20.14453125,-1.41015625,0.5126953125,97.794026123,76.775172876,290.991098437,0.0836829406738,0.0839008560181,0.990422606468,3.80100488663
964010001,2017-09-30 20:00:00,10,10,0,139,1,18.1,89.0,5000,941.59998,0,289.267431641,-7.9833984375,0.7119140625,5.2568359375,83.5695595459,90.6779206909,287.913370703,0.116836712646,0.197784559631,-1.0,-0.972783203125,19.1,20,9,-0.334099590778,4.80907773972,27,290.240214844,1.259765625,-1.171875,1.751953125,92.724130542,78.4636346069,290.713233984,0.0392867385864,0.151451039124,0.377716898918,4.47048139572
964010001,2017-09-30 23:00:00,10,10,0,-1,0,17.9,92.0,5000,942.79999,0,288.853335937,-12.158203125,2.2138671875,4.7734375,78.3663875732,93.8832290161,286.778418652,0.134072453308,0.0545344985962,-0.2,-0.414095703125,18.1,23,9,-1.00530350208,5.36141347885,28,289.267431641,-7.9833984375,0.7119140625,5.2568359375,83.5695595459,90.6779206909,287.913370703,0.116836712646,0.197784559631,-0.334099590778,4.80907773972
964010001,2017-10-01 02:00:00,10,10,0,163,1,17.700001,92.0,5000,941.79999,0,288.618199609,-12.0224609375,3.4189453125,3.3642578125,76.5844613159,96.0005172241,286.142850098,0.091834664917,0.154523857117,-0.199999,-0.235136328125,17.9,2,10,-1.07313525677,0.782634079456,29,288.853335937,-12.158203125,2.2138671875,4.7734375,78.3663875732,93.8832290161,286.778418652,0.134072453308,0.0545344985962,-1.00530350208,5.36141347885
964010001,2017-10-01 05:00:00,10,10,0,-1,0,17.200001,95.0,5000,941.70001,1,288.509596484,2.77734375,4.71875,1.6240234375,79.051352356,97.4404549561,285.135375391,0.10336269989,0.17997698822,-0.5,-0.108603125,17.700001,5,10,-0.423721402884,1.43205237389,30,288.618199609,-12.0224609375,3.4189453125,3.3642578125,76.5844613159,96.0005172241,286.142850098,0.091834664917,0.154523857117,-1.07313525677,0.782634079456
964010001,2017-10-01 08:00:00,10,0,10,-1,0,17.0,97.0,4000,943.20001,1,286.012333203,15.80078125,2.2646484375,-0.775390625,87.2950681152,97.4855319336,285.324332031,-0.00265205841064,0.13734440155,-0.200001,-2.49726328125,17.200001,8,10,0.289008706808,1.76959443092,31,288.509596484,2.77734375,4.71875,1.6240234375,79.051352356,97.4404549561,285.135375391,0.10336269989,0.17997698822,-0.423721402884,1.43205237389
964010001,2017-10-01 11:00:00,10,4,6,-1,0,18.1,92.0,4000,944.5,1,286.491905078,2.662109375,4.89794921875,-0.48583984375,90.8720494751,94.1127777954,286.861870459,-0.0522726272583,0.134657290649,1.1,0.479571875,17.0,11,10,0.926571130753,2.35288500786,32,286.012333203,15.80078125,2.2646484375,-0.775390625,87.2950681152,97.4855319336,285.324332031,-0.00265205841064,0.13734440155,0.289008706808,1.76959443092
964010001,2017-10-01 14:00:00,8,8,0,28,1,20.9,79.0,5000,942.59998,0,288.331259766,-1.9375,7.53125,-0.1962890625,83.7610460815,81.6330309814,289.016521973,-0.0307361999512,0.0983407546997,2.8,1.8393546875,18.1,14,10,0.984014213085,3.7962949276,33,286.491905078,2.662109375,4.89794921875,-0.48583984375,90.8720494751,94.1127777954,286.861870459,-0.0522726272583,0.134657290649,0.926571130753,2.35288500786
964010001,2017-10-01 17:00:00,7,7,0,126,2,22.0,75.0,7000,942.20001,0,289.758385547,7.3369140625,4.9970703125,1.7275390625,73.1001682617,74.1397301514,290.250088818,-0.0488206390381,0.159473876953,1.1,1.42712578125,20.9,17,10,0.373325705528,4.46474933624,34,288.331259766,-1.9375,7.53125,-0.1962890625,83.7610460815,81.6330309814,289.016521973,-0.0307361999512,0.0983407546997,0.984014213085,3.7962949276
964010001,2017-10-01 20:00:00,7,7,0,-1,0,19.200001,93.0,6000,943.5,0,288.045774609,8.63671875,3.869140625,2.7919921875,60.8871604248,87.7733542114,286.333075293,0.118144610596,0.197721110535,-2.799999,-1.7126109375,22.0,20,10,-0.338210225105,4.80319023132,35,289.758385547,7.3369140625,4.9970703125,1.7275390625,73.1001682617,74.1397301514,290.250088818,-0.0488206390381,0.159473876953,0.373325705528,4.46474933624
